variant,mode,horizon,weighted_cost,position_cost,velocity_cost,action_cost,returns_mean,share_terminated
baseline,fixed,500,2570.46,2531.24,37.8356,0.000662136,-2570.46,0
baseline,fixed,1000,5743.36,5713.75,28.7855,0.000422788,-5743.36,0
baseline,broad_correlated,500,3312.38,3264.22,46.5906,0.0023421,-3312.38,0
baseline,broad_correlated,1000,7687.32,7621.48,64.8615,0.00203551,-7687.32,0
outward0p25,fixed,500,297.861,281.17,14.6314,0.000624868,-297.861,0
outward0p25,fixed,1000,309.881,291.885,16.3285,0.000604958,-309.881,0
outward0p25,broad_correlated,500,661.132,618.646,39.612,0.00267859,-661.132,0
outward0p25,broad_correlated,1000,11704.9,11507.8,193.878,0.00276274,-11704.9,0
outward0p5_diff5,fixed,500,259.65,234.781,20.9152,0.0012347,-259.65,0
outward0p5_diff5,fixed,1000,1679.71,1638.86,36.3183,0.00141425,-1679.71,0
outward0p5_diff5,broad_correlated,500,581.506,539.537,37.3934,0.00284969,-581.506,0
outward0p5_diff5,broad_correlated,1000,13144.6,12962.8,176.8,0.00304693,-13144.6,0
