train_seed,checkpoint_path,euler_fixed_success,l2f_fixed_success,final_p,final_v,final_w,euler_final_p,euler_final_v,euler_final_w,l2f_final_p,l2f_final_v,l2f_final_w
0,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed0_policy.bin,0.37666666666666665,0.33666666666666667,1.54806,1.15451,1.78463,1.35805,1.2830633333333332,1.6214333333333333,1.4341066666666666,1.3021066666666667,1.8302666666666667
1,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed1_policy.bin,0.3466666666666667,0.26,2.03638,2.40398,4.00371,1.5128033333333333,1.5313266666666667,1.99572,1.62642,1.7826733333333333,2.6151066666666667
2,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed2_policy.bin,0.42,0.39,1.10572,0.850712,1.13674,1.1817066666666667,0.8932103333333333,1.2354533333333333,1.2455566666666666,0.9499216666666667,1.35783
3,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed3_policy.bin,0.55,0.5033333333333334,1.19614,0.593637,0.585823,1.05434,0.6263783333333333,0.788562,1.10321,0.6291736666666666,1.038
4,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed4_policy.bin,0.16666666666666666,0.15333333333333332,2.00647,2.33682,3.46853,1.9650333333333334,2.13707,2.6227533333333333,2.1651833333333332,2.492793333333333,2.8092433333333333
5,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed5_policy.bin,0.6366666666666666,0.5566666666666666,1.23706,0.792659,1.16237,0.9430973333333333,0.767772,1.23828,1.03156,0.7998206666666666,1.5371966666666665
6,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed6_policy.bin,0.37333333333333335,0.33666666666666667,1.63678,1.11268,1.03602,1.3992266666666666,1.4342366666666666,1.3320766666666666,1.53689,1.5023366666666667,1.39897
7,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed7_policy.bin,0.55,0.5266666666666667,1.0691,0.409536,0.419191,1.0029823333333332,0.641412,0.6374029999999999,1.0377843333333332,0.6680723333333334,0.827412
8,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed8_policy.bin,0.5433333333333333,0.49000000000000005,0.608654,0.73802,0.872705,1.1260476666666666,0.879455,1.5579833333333333,1.2505300000000001,0.9423663333333333,2.1738
9,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\diag_h128prio_16000_10seed\checkpoints\fixed_vstrong_seed9_policy.bin,0.4666666666666667,0.45,1.10511,0.651759,1.26722,1.0764833333333335,0.790859,1.5722,1.1451233333333333,0.8963093333333334,1.9946433333333333
